crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
0.2,20,5.5,0,0.45,6.5,35,7.2,1,300,15,390,4,25
0.1,30,7.8,1,0.48,7.0,45,6.0,2,250,17,385,3,30
0.5,0,12.6,0,0.55,5.9,70,4.8,4,320,18,375,7,21
0.3,0,8.1,0,0.50,6.3,60,5.5,3,280,16,387,5,28
1.2,0,20.2,0,0.70,5.4,85,3.3,8,400,22,350,12,15
0.8,10,10.5,0,0.60,6.1,50,5.8,5,360,19,370,8,20
0.4,25,6.2,1,0.42,6.8,40,6.9,2,270,14,392,3,32
0.9,5,15.3,0,0.65,5.7,75,4.5,7,390,20,365,10,18
0.6,15,9.4,0,0.52,6.4,55,6.1,3,290,15,380,6,26
0.2,20,5.7,0,0.46,6.9,35,7.4,1,310,13,395,2,31
